,high,close,middleBand,upperBand,sellingPrice,matchForBuying,matchForSelling,,,,
2021-07-08 5:00,40455000,39743000,40019400,41093215.12,40735276.74,,,,,,
2021-07-08 9:00,39953000,39230000,39917350,40871619.14,40553529.43,,,,,,
2021-07-08 13:00,39377000,38417000,39790800,40836493.24,40487928.83,,,,,,
2021-07-08 17:00,38869000,38843000,39729200,40847061.42,40474440.94,,,,,,
2021-07-08 21:00,39178000,39056000,39681400,40829688.69,40446925.79,,,,,,
2021-07-09 1:00,39299000,39105000,39682850,40827988.79,40446275.86,,,,,,
2021-07-09 5:00,39201000,39082000,39672100,40836366.91,40448277.94,,,,,,
2021-07-09 9:00,39082000,38822000,39622200,40843907.45,40436671.63,,,,,,
2021-07-09 13:00,39250000,38842000,39589000,40859132.03,40435754.69,,,,,,
2021-07-09 17:00,39177000,38806000,39549950,40867479.98,40428303.32,,,,,,
2021-07-09 21:00,39612000,39486000,39503450,40756341.98,40338711.32,buy,,,,,
2021-07-10 1:00,39606000,39395000,39487100,40736513.15,40320042.1,,,,,,
2021-07-10 5:00,40070000,39820000,39490550,40743407.7,40325788.47,,,,,,
2021-07-10 9:00,40257000,39865000,39499300,40760439.85,40340059.9,,,,,,
2021-07-10 13:00,40000000,39874000,39502300,40766872.67,40345348.45,,,,,,
2021-07-10 17:00,40000000,39925000,39494150,40744853.93,40327952.62,,,,,,
2021-07-10 21:00,40000000,39967000,39475050,40681677.22,40279468.15,,,,,,
2021-07-11 1:00,40302000,39590000,39427900,40529597.43,40162364.95,,sell,40279468.15,1.002293465,,
2021-07-11 5:00,39850000,39626000,39395300,40427474.02,40083416.01,,,,,,
2021-07-11 9:00,39930000,39450000,39347200,40262981.08,39957720.72,,,,,,
2021-07-11 13:00,39657000,39514000,39335750,40236294.13,39936112.76,,,,,,
2021-07-11 17:00,39865000,39795000,39364000,40285774.03,39978516.02,,,,,,
2021-07-11 21:00,40000000,39922000,39439250,40277446.53,39998047.69,,sell,,,,
2021-07-12 1:00,40053000,39852000,39489700,40297708.36,40028372.24,,sell,,,,
2021-07-12 5:00,40580000,40194000,39546600,40385692.09,40105994.73,,sell,,,,
2021-07-12 9:00,40489000,40412000,39611950,40507888.55,40209242.37,,sell,,,,
2021-07-12 13:00,40570000,40196000,39667650,40563379.11,40264802.74,,sell,,,,
2021-07-12 17:00,40350000,39600000,39706550,40510521.58,40242531.05,,sell,,,,
2021-07-12 21:00,39686000,39400000,39734450,40445448.85,40208449.23,,,,,,
2021-07-13 1:00,39495000,39001000,39744200,40405179.37,40184852.91,,,,,,
2021-07-13 5:00,39398000,39193000,39729550,40426627.65,40194268.43,,,,,,
2021-07-13 9:00,39363000,39035000,39711550,40461581.99,40211571.33,,,,,,
2021-07-13 13:00,39232000,39031000,39672100,40478960.56,40210007.04,,,,,,
2021-07-13 17:00,39186000,38977000,39627700,40485958.97,40199872.65,,,,,,
2021-07-13 21:00,38977000,38655000,39566750,40519317.03,40201794.69,,,,,,
2021-07-14 1:00,38845000,38381000,39489550,40562522.94,40204865.3,,,,,,
2021-07-14 5:00,38812000,38713000,39426850,40528521.7,40161297.8,,,,,,
2021-07-14 9:00,38901000,37885000,39341600,40636961.34,40205174.23,,,,,,
2021-07-14 13:00,38061000,37855000,39253050,40699831.47,40217570.98,,,,,,
2021-07-14 17:00,38882000,38589000,39210000,40683105.99,40192070.66,,,,,,
2021-07-14 21:00,38975000,38730000,39170800,40651549.97,40157966.64,,,,,,
2021-07-15 1:00,38973000,38658000,39113950,40581037.84,40092008.56,,,,,,
2021-07-15 5:00,38969000,38592000,39047450,40480495.26,40002813.51,,,,,,
2021-07-15 9:00,39045000,38500000,38979850,40380278.1,39913468.73,,,,,,
2021-07-15 13:00,38510000,38290000,38884650,40193419.33,39757162.89,,,,,,
2021-07-15 17:00,38350000,37814000,38754750,39934596.53,39541314.36,,,,,,
2021-07-15 21:00,38078000,37538000,38621850,39713657.82,39349721.88,,,,,,
2021-07-16 1:00,37597000,37385000,38511100,39634058.48,39259738.99,,,,,,
2021-07-16 5:00,37749000,37606000,38421400,39531929.58,39161753.06,,,,,,
2021-07-16 9:00,37765000,37573000,38350000,39486934.75,39107956.5,,,,,,
2021-07-16 13:00,37679000,37477000,38264200,39392234.64,39016223.09,,,,,,
2021-07-16 17:00,37499000,36854000,38155150,39386399.99,38975983.33,,,,,,
2021-07-16 21:00,38053000,37962000,38101700,39263725.84,38876383.89,,,,,,
2021-07-17 1:00,38034000,37723000,38039000,39135653.47,38770102.32,,,,,,
2021-07-17 5:00,37767000,37199000,37966200,39083784.73,38711256.48,,,,,,
2021-07-17 9:00,37391000,36983000,37896300,39077702.57,38683901.72,,,,,,
2021-07-17 13:00,37400000,37298000,37825550,38969916.98,38588461.32,,,,,,
2021-07-17 17:00,37640000,37075000,37785050,38976905.78,38579620.52,,,,,,
