,high,close,middleBand,upperBand,sellingPrice,matchForBuying,matchForSelling
2021-07-16 16:00:00,37477000.0,37477000.0,37520200.0,37828758.345587306,37639614.55385937,,
2021-07-16 17:00:00,37499000.0,37167000.0,37495050.0,37832813.21509851,37643649.14902301,,
2021-07-16 18:00:00,37212000.0,37085000.0,37458650.0,37808822.453754455,37619778.34148568,,
2021-07-16 19:00:00,37133000.0,37000000.0,37426000.0,37819022.297479145,37629927.18599175,,
2021-07-16 20:00:00,37001000.0,36854000.0,37391800.0,37856323.11709514,37667041.50150967,,
2021-07-16 21:00:00,37550000.0,37497000.0,37392400.0,37857460.67515857,37668173.37178277,buy,
2021-07-16 22:00:00,37850000.0,37619000.0,37414250.0,37878751.48716548,37689357.72972965,,sell
2021-07-16 23:00:00,37848000.0,37783000.0,37436150.0,37927433.29269802,37737796.12623453,,sell
2021-07-17 00:00:00,38053000.0,37962000.0,37465000.0,38008615.96351604,37818572.88369846,,sell
2021-07-17 01:00:00,38034000.0,37789000.0,37472400.0,38029954.20789089,37839804.436851434,,sell
2021-07-17 02:00:00,37880000.0,37879000.0,37489150.0,38075162.85238286,37884787.03812095,,sell
2021-07-17 03:00:00,37880000.0,37758000.0,37495250.0,38090171.268563725,37899720.4122209,,
2021-07-17 04:00:00,37867000.0,37723000.0,37501100.0,38102868.23655483,37912353.895372055,,
2021-07-17 05:00:00,37767000.0,37679000.0,37517000.0,38119985.205369696,37929385.279342845,,
2021-07-17 06:00:00,37721000.0,37593000.0,37514300.0,38115314.615813166,37924738.0427341,,
2021-07-17 07:00:00,37713000.0,37439000.0,37506050.0,38106409.70796462,37915877.6594248,,
2021-07-17 08:00:00,37463000.0,37199000.0,37487350.0,38102056.528181925,37911546.245541014,,
2021-07-17 09:00:00,37391000.0,37337000.0,37475700.0,38092638.82661855,37902175.63248546,,
2021-07-17 10:00:00,37381000.0,37125000.0,37463200.0,38098584.54166707,37908091.618958734,,
2021-07-17 11:00:00,37180000.0,37038000.0,37450150.0,38109985.15485229,37919435.22907803,,
2021-07-17 12:00:00,37169000.0,36983000.0,37425450.0,38117262.71423626,37926676.400665075,,
2021-07-17 13:00:00,37136000.0,37083000.0,37421250.0,38120647.597936966,37930044.35994728,,
2021-07-17 14:00:00,37250000.0,37187000.0,37426350.0,38116854.70481266,37926270.4312886,,
2021-07-17 15:00:00,37400000.0,37387000.0,37445700.0,38106969.94249104,37916435.092778586,,
2021-07-17 16:00:00,37394000.0,37298000.0,37467900.0,38072952.37702811,37882587.615142964,,
2021-07-17 17:00:00,37640000.0,37405000.0,37463300.0,38068819.55942158,37878475.461624466,buy,
2021-07-17 18:00:00,37550000.0,37428000.0,37453750.0,38054939.303753294,37864664.60723453,,
